control,corruption,severity,mean,std,minimum,maximum,seeds
cutmix_p1,shot_noise,1,7.9799999999999995,3.4128140881096956,4.189999999999998,10.810000000000002,3
cutmix_p1,shot_noise,2,8.590000000000002,3.819790570175282,4.330000000000002,11.710000000000004,3
cutmix_p1,shot_noise,3,5.319999999999999,2.2899999999999996,2.6799999999999997,6.77,3
cutmix_p1,shot_noise,4,3.9099999999999997,1.627851344564362,2.039999999999999,5.01,3
cutmix_p1,shot_noise,5,2.346666666666667,1.1548737304715755,1.1000000000000005,3.380000000000001,3
cutmix_p1,snow,1,-0.16666666666666194,0.6950059951779741,-0.7299999999999898,0.6099999999999994,3
cutmix_p1,snow,2,-0.5733333333333306,0.9187672900867407,-1.6199999999999974,0.10000000000000142,3
cutmix_p1,snow,3,-0.8699999999999974,0.6755738301621824,-1.6499999999999986,-0.46999999999999886,3
cutmix_p1,snow,4,-0.9366666666666698,0.8358428879480454,-1.75,-0.0800000000000054,3
cutmix_p1,snow,5,-0.5,1.1951568934662953,-1.2000000000000028,0.8800000000000026,3
cutmix_p1,zoom_blur,1,-0.2066666666666682,0.41259342376404484,-0.5900000000000034,0.23000000000000398,3
cutmix_p1,zoom_blur,2,-0.45666666666666816,0.27592269448766654,-0.7700000000000031,-0.25,3
cutmix_p1,zoom_blur,3,-0.7833333333333362,0.7874854496010297,-1.6900000000000048,-0.2700000000000031,3
cutmix_p1,zoom_blur,4,-0.75666666666667,0.7735847292529309,-1.6000000000000014,-0.0800000000000054,3
cutmix_p1,zoom_blur,5,-1.2666666666666682,0.7451398079107939,-2.020000000000003,-0.5300000000000011,3
