method,seed,corruption,severity,accuracy
cutmix_p1,42,pixelate,1,73.34
cutmix_p1,42,pixelate,2,61.39
cutmix_p1,42,pixelate,3,52.33
cutmix_p1,42,pixelate,4,25.2
cutmix_p1,42,pixelate,5,11.29
cutmix_p1,42,shot_noise,1,43.81
cutmix_p1,42,shot_noise,2,26.76
cutmix_p1,42,shot_noise,3,10.94
cutmix_p1,42,shot_noise,4,8.4
cutmix_p1,42,shot_noise,5,6.08
cutmix_p1,42,snow,1,72.21
cutmix_p1,42,snow,2,53.9
cutmix_p1,42,snow,3,60.07
cutmix_p1,42,snow,4,55.31
cutmix_p1,42,snow,5,45.33
cutmix_p1,42,zoom_blur,1,66.48
cutmix_p1,42,zoom_blur,2,61.01
cutmix_p1,42,zoom_blur,3,53.95
cutmix_p1,42,zoom_blur,4,46.56
cutmix_p1,42,zoom_blur,5,38.85
cutmix_p1,43,brightness,1,78.26
cutmix_p1,43,brightness,2,76.94
cutmix_p1,43,brightness,3,75.16
cutmix_p1,43,brightness,4,72.64
cutmix_p1,43,brightness,5,64.82
cutmix_p1,43,contrast,1,77.0
cutmix_p1,43,contrast,2,69.39
cutmix_p1,43,contrast,3,61.72
cutmix_p1,43,contrast,4,48.26
cutmix_p1,43,contrast,5,18.99
cutmix_p1,43,defocus_blur,1,78.42
cutmix_p1,43,defocus_blur,2,74.06
cutmix_p1,43,defocus_blur,3,64.05
cutmix_p1,43,defocus_blur,4,53.02
cutmix_p1,43,defocus_blur,5,31.63
cutmix_p1,43,elastic_transform,1,69.49
cutmix_p1,43,elastic_transform,2,68.99
cutmix_p1,43,elastic_transform,3,62.41
cutmix_p1,43,elastic_transform,4,55.64
cutmix_p1,43,elastic_transform,5,47.22
cutmix_p1,43,fog,1,77.83
cutmix_p1,43,fog,2,73.88
cutmix_p1,43,fog,3,69.56
cutmix_p1,43,fog,4,61.7
cutmix_p1,43,fog,5,37.26
cutmix_p1,43,frost,1,65.6
cutmix_p1,43,frost,2,54.62
cutmix_p1,43,frost,3,41.63
cutmix_p1,43,frost,4,40.86
cutmix_p1,43,frost,5,31.52
cutmix_p1,43,gaussian_noise,1,25.68
cutmix_p1,43,gaussian_noise,2,11.75
cutmix_p1,43,gaussian_noise,3,6.73
cutmix_p1,43,gaussian_noise,4,5.76
cutmix_p1,43,gaussian_noise,5,4.91
cutmix_p1,43,glass_blur,1,19.7
cutmix_p1,43,glass_blur,2,20.93
cutmix_p1,43,glass_blur,3,24.25
cutmix_p1,43,glass_blur,4,15.33
cutmix_p1,43,glass_blur,5,18.47
cutmix_p1,43,impulse_noise,1,57.0
cutmix_p1,43,impulse_noise,2,28.36
cutmix_p1,43,impulse_noise,3,13.85
cutmix_p1,43,impulse_noise,4,5.86
cutmix_p1,43,impulse_noise,5,3.36
cutmix_p1,43,jpeg_compression,1,57.27
cutmix_p1,43,jpeg_compression,2,47.84
cutmix_p1,43,jpeg_compression,3,44.29
cutmix_p1,43,jpeg_compression,4,40.86
cutmix_p1,43,jpeg_compression,5,35.94
cutmix_p1,43,motion_blur,1,68.44
cutmix_p1,43,motion_blur,2,58.57
cutmix_p1,43,motion_blur,3,49.43
cutmix_p1,43,motion_blur,4,49.42
cutmix_p1,43,motion_blur,5,41.53
cutmix_p1,43,pixelate,1,73.01
cutmix_p1,43,pixelate,2,62.52
cutmix_p1,43,pixelate,3,53.72
cutmix_p1,43,pixelate,4,27.59
cutmix_p1,43,pixelate,5,12.51
cutmix_p1,43,shot_noise,1,41.21
cutmix_p1,43,shot_noise,2,24.49
cutmix_p1,43,shot_noise,3,10.23
cutmix_p1,43,shot_noise,4,8.1
cutmix_p1,43,shot_noise,5,6.14
cutmix_p1,43,snow,1,70.45
cutmix_p1,43,snow,2,52.33
cutmix_p1,43,snow,3,59.62
cutmix_p1,43,snow,4,55.77
cutmix_p1,43,snow,5,45.31
cutmix_p1,43,zoom_blur,1,66.5
cutmix_p1,43,zoom_blur,2,60.75
cutmix_p1,43,zoom_blur,3,53.18
cutmix_p1,43,zoom_blur,4,46.45
cutmix_p1,43,zoom_blur,5,38.22
cutmix_p1,44,brightness,1,78.59
cutmix_p1,44,brightness,2,77.54
cutmix_p1,44,brightness,3,75.74
cutmix_p1,44,brightness,4,72.97
cutmix_p1,44,brightness,5,65.71
cutmix_p1,44,contrast,1,77.48
cutmix_p1,44,contrast,2,69.51
cutmix_p1,44,contrast,3,62.0
cutmix_p1,44,contrast,4,48.59
cutmix_p1,44,contrast,5,17.96
cutmix_p1,44,defocus_blur,1,78.24
cutmix_p1,44,defocus_blur,2,73.72
cutmix_p1,44,defocus_blur,3,64.17
cutmix_p1,44,defocus_blur,4,52.43
cutmix_p1,44,defocus_blur,5,31.97
cutmix_p1,44,elastic_transform,1,69.32
cutmix_p1,44,elastic_transform,2,68.81
cutmix_p1,44,elastic_transform,3,62.08
cutmix_p1,44,elastic_transform,4,53.67
cutmix_p1,44,elastic_transform,5,47.84
cutmix_p1,44,fog,1,78.21
cutmix_p1,44,fog,2,74.22
cutmix_p1,44,fog,3,68.57
cutmix_p1,44,fog,4,61.04
cutmix_p1,44,fog,5,36.47
cutmix_p1,44,frost,1,66.52
cutmix_p1,44,frost,2,56.48
cutmix_p1,44,frost,3,44.73
cutmix_p1,44,frost,4,43.1
cutmix_p1,44,frost,5,33.52
cutmix_p1,44,gaussian_noise,1,31.25
cutmix_p1,44,gaussian_noise,2,15.64
cutmix_p1,44,gaussian_noise,3,8.75
cutmix_p1,44,gaussian_noise,4,7.26
cutmix_p1,44,gaussian_noise,5,6.23
cutmix_p1,44,glass_blur,1,21.79
cutmix_p1,44,glass_blur,2,22.61
cutmix_p1,44,glass_blur,3,26.48
cutmix_p1,44,glass_blur,4,16.84
cutmix_p1,44,glass_blur,5,20.01
cutmix_p1,44,impulse_noise,1,62.52
cutmix_p1,44,impulse_noise,2,39.27
cutmix_p1,44,impulse_noise,3,22.54
cutmix_p1,44,impulse_noise,4,8.61
cutmix_p1,44,impulse_noise,5,4.75
cutmix_p1,44,jpeg_compression,1,57.36
cutmix_p1,44,jpeg_compression,2,48.17
cutmix_p1,44,jpeg_compression,3,44.46
cutmix_p1,44,jpeg_compression,4,41.3
cutmix_p1,44,jpeg_compression,5,36.64
cutmix_p1,44,motion_blur,1,68.18
cutmix_p1,44,motion_blur,2,58.99
cutmix_p1,44,motion_blur,3,49.38
cutmix_p1,44,motion_blur,4,49.6
cutmix_p1,44,motion_blur,5,41.72
cutmix_p1,44,pixelate,1,73.82
cutmix_p1,44,pixelate,2,62.59
cutmix_p1,44,pixelate,3,54.01
cutmix_p1,44,pixelate,4,27.09
cutmix_p1,44,pixelate,5,11.73
cutmix_p1,44,shot_noise,1,45.6
cutmix_p1,44,shot_noise,2,29.19
cutmix_p1,44,shot_noise,3,13.1
cutmix_p1,44,shot_noise,4,9.88
cutmix_p1,44,shot_noise,5,7.29
cutmix_p1,44,snow,1,71.78
cutmix_p1,44,snow,2,54.07
cutmix_p1,44,snow,3,61.08
cutmix_p1,44,snow,4,57.05
cutmix_p1,44,snow,5,46.5
cutmix_p1,44,zoom_blur,1,66.22
cutmix_p1,44,zoom_blur,2,61.25
cutmix_p1,44,zoom_blur,3,54.46
cutmix_p1,44,zoom_blur,4,47.77
cutmix_p1,44,zoom_blur,5,40.09
