seed,corruption,severity,accuracy_p05,accuracy_control,control,delta
44,zoom_blur,3,54.07,52.95,baseline,1.1199999999999974
44,zoom_blur,4,47.18,47.01,baseline,0.1700000000000017
44,zoom_blur,5,38.84,39.86,baseline,-1.019999999999996
42,brightness,1,77.8,78.45,cutmix_p1,-0.6500000000000057
42,brightness,2,76.81,77.49,cutmix_p1,-0.6799999999999926
42,brightness,3,74.91,75.61,cutmix_p1,-0.7000000000000028
42,brightness,4,73.04,72.99,cutmix_p1,0.05000000000001137
42,brightness,5,65.77,66.01,cutmix_p1,-0.2400000000000091
42,contrast,1,76.81,77.58,cutmix_p1,-0.769999999999996
42,contrast,2,70.16,69.89,cutmix_p1,0.269999999999996
42,contrast,3,63.31,62.15,cutmix_p1,1.1600000000000037
42,contrast,4,50.4,48.5,cutmix_p1,1.8999999999999986
42,contrast,5,20.05,18.05,cutmix_p1,2.0
42,defocus_blur,1,77.76,78.2,cutmix_p1,-0.4399999999999977
42,defocus_blur,2,74.28,74.27,cutmix_p1,0.010000000000005116
42,defocus_blur,3,64.26,63.94,cutmix_p1,0.3200000000000074
42,defocus_blur,4,52.59,52.53,cutmix_p1,0.060000000000002274
42,defocus_blur,5,31.25,31.09,cutmix_p1,0.16000000000000014
42,elastic_transform,1,69.31,69.7,cutmix_p1,-0.39000000000000057
42,elastic_transform,2,68.78,68.93,cutmix_p1,-0.15000000000000568
42,elastic_transform,3,62.43,62.32,cutmix_p1,0.10999999999999943
42,elastic_transform,4,56.15,54.34,cutmix_p1,1.8099999999999952
42,elastic_transform,5,49.65,46.74,cutmix_p1,2.9099999999999966
42,fog,1,77.35,77.85,cutmix_p1,-0.5
42,fog,2,73.9,74.39,cutmix_p1,-0.4899999999999949
42,fog,3,69.29,69.46,cutmix_p1,-0.1699999999999875
42,fog,4,61.88,61.74,cutmix_p1,0.14000000000000057
42,fog,5,36.5,37.38,cutmix_p1,-0.8800000000000026
42,frost,1,65.49,65.69,cutmix_p1,-0.20000000000000284
42,frost,2,56.0,55.09,cutmix_p1,0.9099999999999966
42,frost,3,43.18,42.0,cutmix_p1,1.1799999999999997
42,frost,4,42.17,41.09,cutmix_p1,1.0799999999999983
42,frost,5,33.05,31.12,cutmix_p1,1.9299999999999962
42,gaussian_noise,1,38.72,28.78,cutmix_p1,9.939999999999998
42,gaussian_noise,2,21.13,12.99,cutmix_p1,8.139999999999999
42,gaussian_noise,3,12.13,7.41,cutmix_p1,4.720000000000001
42,gaussian_noise,4,9.78,5.88,cutmix_p1,3.8999999999999995
42,gaussian_noise,5,7.78,5.23,cutmix_p1,2.55
42,glass_blur,1,21.39,21.65,cutmix_p1,-0.259999999999998
42,glass_blur,2,23.63,23.12,cutmix_p1,0.509999999999998
42,glass_blur,3,28.13,25.87,cutmix_p1,2.259999999999998
42,glass_blur,4,17.21,17.44,cutmix_p1,-0.23000000000000043
42,glass_blur,5,20.82,19.91,cutmix_p1,0.9100000000000001
42,impulse_noise,1,64.54,62.15,cutmix_p1,2.3900000000000077
42,impulse_noise,2,43.13,36.77,cutmix_p1,6.359999999999999
42,impulse_noise,3,25.38,20.23,cutmix_p1,5.149999999999999
42,impulse_noise,4,10.18,7.98,cutmix_p1,2.1999999999999993
42,impulse_noise,5,5.08,4.63,cutmix_p1,0.4500000000000002
