control,corruption,severity,mean,std,minimum,maximum,seeds,dataset
baseline,jpeg_compression,4,-5.999999999999997,0.7543871685016936,-6.859999999999999,-5.449999999999996,3,CIFAR-100
baseline,jpeg_compression,5,-6.06666666666667,0.8212389014978135,-6.940000000000005,-5.310000000000002,3,CIFAR-100
baseline,motion_blur,1,1.9833333333333345,0.4735328218121007,1.5700000000000074,2.5,3,CIFAR-100
baseline,motion_blur,2,1.403333333333331,0.2419366308216555,1.1299999999999957,1.5899999999999963,3,CIFAR-100
baseline,motion_blur,3,0.4699999999999988,0.173493515728977,0.269999999999996,0.5799999999999983,3,CIFAR-100
baseline,motion_blur,4,0.423333333333332,0.3920884254008702,0.009999999999998,0.7899999999999991,3,CIFAR-100
baseline,motion_blur,5,0.2566666666666677,0.5750072463311563,-0.3700000000000045,0.7600000000000051,3,CIFAR-100
baseline,pixelate,1,1.2433333333333347,0.5340724045795023,0.9299999999999926,1.8599999999999997,3,CIFAR-100
baseline,pixelate,2,-0.2566666666666701,0.86950177304784,-1.220000000000006,0.4699999999999988,3,CIFAR-100
baseline,pixelate,3,-2.4733333333333314,0.55806212318463,-3.1000000000000014,-2.029999999999994,3,CIFAR-100
baseline,pixelate,4,-10.0,1.4466858677681191,-10.87,-8.330000000000002,3,CIFAR-100
baseline,pixelate,5,-10.233333333333334,1.0281212639243156,-11.02,-9.070000000000002,3,CIFAR-100
baseline,shot_noise,1,-4.126666666666665,1.4709634031250878,-5.740000000000002,-2.8599999999999994,3,CIFAR-100
baseline,shot_noise,2,-7.423333333333329,1.560715647814594,-9.139999999999992,-6.089999999999996,3,CIFAR-100
baseline,shot_noise,3,-6.276666666666666,1.290904075961235,-7.459999999999999,-4.900000000000002,3,CIFAR-100
baseline,shot_noise,4,-5.036666666666666,1.5291936873180376,-6.220000000000001,-3.3099999999999987,3,CIFAR-100
baseline,shot_noise,5,-3.49,1.1777945491468371,-4.17,-2.129999999999999,3,CIFAR-100
baseline,snow,1,4.423333333333342,0.3162804662531873,4.070000000000007,4.680000000000007,3,CIFAR-100
baseline,snow,2,3.8100000000000014,1.2406852945046134,2.740000000000002,5.170000000000002,3,CIFAR-100
baseline,snow,3,4.383333333333336,1.165861627009542,3.3200000000000003,5.630000000000003,3,CIFAR-100
baseline,snow,4,2.963333333333329,0.5101307022061454,2.4599999999999937,3.479999999999997,3,CIFAR-100
baseline,snow,5,1.0966666666666665,1.5556777729765685,0.1099999999999994,2.890000000000001,3,CIFAR-100
baseline,zoom_blur,1,1.9066666666666665,0.1858314648635498,1.7000000000000028,2.0600000000000023,3,CIFAR-100
baseline,zoom_blur,2,1.1833333333333325,0.3262412195497887,0.8999999999999986,1.5399999999999991,3,CIFAR-100
baseline,zoom_blur,3,0.5666666666666652,0.6642539674953648,-0.1700000000000017,1.1199999999999974,3,CIFAR-100
baseline,zoom_blur,4,-0.340000000000001,0.678454125199338,-1.1099999999999994,0.1700000000000017,3,CIFAR-100
baseline,zoom_blur,5,-1.0799999999999983,0.1873499399519522,-1.2899999999999991,-0.9299999999999996,3,CIFAR-100
cutmix_p1,brightness,1,-0.6166666666666742,0.0288675134594796,-0.6500000000000057,-0.6000000000000085,3,CIFAR-100
cutmix_p1,brightness,2,-0.4799999999999992,0.2051828452868305,-0.6799999999999926,-0.269999999999996,3,CIFAR-100
cutmix_p1,brightness,3,-0.6166666666666648,0.1800925687898688,-0.7399999999999949,-0.4099999999999966,3,CIFAR-100
cutmix_p1,brightness,4,-0.2166666666666638,0.765658757759181,-1.0799999999999983,0.3799999999999954,3,CIFAR-100
cutmix_p1,brightness,5,-0.0700000000000002,1.164345309605358,-1.1399999999999937,1.1700000000000017,3,CIFAR-100
cutmix_p1,contrast,1,-0.3299999999999983,0.4788527957525174,-0.769999999999996,0.1800000000000068,3,CIFAR-100
cutmix_p1,contrast,2,0.3166666666666629,0.1361371857110834,0.2099999999999937,0.4699999999999988,3,CIFAR-100
cutmix_p1,contrast,3,0.8033333333333369,0.52538874496256,0.2000000000000028,1.1600000000000037,3,CIFAR-100
cutmix_p1,contrast,4,1.4333333333333325,1.1625116486871574,0.1099999999999994,2.289999999999999,3,CIFAR-100
cutmix_p1,contrast,5,1.4466666666666663,0.4992327446525658,1.0299999999999976,2.0,3,CIFAR-100
cutmix_p1,defocus_blur,1,-0.3166666666666629,0.2581343319539912,-0.4899999999999949,-0.019999999999996,3,CIFAR-100
cutmix_p1,defocus_blur,2,0.2666666666666704,0.6539367961304329,-0.2199999999999988,1.0100000000000051,3,CIFAR-100
cutmix_p1,defocus_blur,3,0.3733333333333348,0.4324735059322508,-0.0300000000000011,0.8299999999999983,3,CIFAR-100
