control,corruption,severity,mean,std,minimum,maximum,seeds
cutmix_p1,frost,4,-0.173333333333332,1.4249678358943128,-1.259999999999991,1.4399999999999977,3
cutmix_p1,frost,5,-0.010000000000002748,1.8624983221468938,-1.6400000000000006,2.019999999999996,3
cutmix_p1,gaussian_noise,1,10.336666666666668,2.3003115730990253,8.480000000000004,12.909999999999997,3
cutmix_p1,gaussian_noise,2,18.12,8.29535412143448,10.57,27.0,3
cutmix_p1,gaussian_noise,3,15.946666666666667,8.568321500348443,7.719999999999999,24.82,3
cutmix_p1,gaussian_noise,4,12.903333333333334,6.440165629340081,6.490000000000002,19.37,3
cutmix_p1,gaussian_noise,5,10.056666666666667,5.330378348047477,4.690000000000001,15.350000000000001,3
cutmix_p1,glass_blur,1,-0.5733333333333354,6.282080334836013,-4.280000000000001,6.68,3
cutmix_p1,glass_blur,2,-0.5966666666666688,4.966249423189829,-3.719999999999999,5.1299999999999955,3
cutmix_p1,glass_blur,3,-0.3066666666666625,3.9222994956190322,-3.1399999999999935,4.170000000000002,3
cutmix_p1,glass_blur,4,0.13333333333333286,6.453102612955517,-3.8200000000000003,7.579999999999998,3
cutmix_p1,glass_blur,5,-0.06666666666666525,4.382879570936596,-3.210000000000001,4.940000000000005,3
cutmix_p1,impulse_noise,1,2.7666666666666657,1.9478278500250934,0.6699999999999875,4.52000000000001,3
cutmix_p1,impulse_noise,2,7.166666666666671,4.289106356029575,2.990000000000009,11.560000000000002,3
cutmix_p1,impulse_noise,3,7.9333333333333345,4.532133419630687,4.800000000000004,13.130000000000003,3
cutmix_p1,impulse_noise,4,4.506666666666665,4.821331074851979,-0.990000000000002,8.019999999999996,3
cutmix_p1,impulse_noise,5,2.6133333333333346,8.480049135077776,-3.469999999999999,12.3,3
cutmix_p1,jpeg_compression,1,1.5833333333333333,0.6957250414735207,0.7800000000000011,1.990000000000009,3
cutmix_p1,jpeg_compression,2,2.7399999999999998,0.4199999999999996,2.4399999999999977,3.219999999999999,3
cutmix_p1,jpeg_compression,3,3.7900000000000063,0.4995998398718749,3.230000000000004,4.190000000000012,3
cutmix_p1,jpeg_compression,4,4.279999999999997,0.7528612089887438,3.4200000000000017,4.819999999999993,3
cutmix_p1,jpeg_compression,5,4.609999999999997,0.7350510186374745,3.8700000000000045,5.339999999999989,3
cutmix_p1,motion_blur,1,-0.29666666666666686,0.4539089482851583,-0.6900000000000119,0.20000000000000284,3
cutmix_p1,motion_blur,2,-0.3000000000000019,0.7700000000000041,-1.1800000000000068,0.25,3
cutmix_p1,motion_blur,3,-0.75,1.1003635762783097,-1.9899999999999949,0.10999999999999943,3
cutmix_p1,motion_blur,4,-0.5333333333333362,0.9645897228010124,-1.5900000000000034,0.29999999999999716,3
cutmix_p1,motion_blur,5,-0.5133333333333354,1.6235249715767583,-2.3799999999999955,0.5699999999999932,3
cutmix_p1,pixelate,1,0.06666666666667236,0.26764404221527466,-0.22999999999998977,0.29000000000000625,3
cutmix_p1,pixelate,2,0.44666666666666305,0.7350056689123744,-0.1700000000000017,1.259999999999991,3
cutmix_p1,pixelate,3,0.9199999999999969,1.5361966020011857,-0.5799999999999983,2.489999999999995,3
cutmix_p1,pixelate,4,4.193333333333331,2.3374416213743903,1.9199999999999946,6.589999999999996,3
cutmix_p1,pixelate,5,7.0133333333333345,6.87593145205312,1.4200000000000017,14.690000000000001,3
cutmix_p1,shot_noise,1,6.23333333333333,0.3177000681985014,6.039999999999992,6.599999999999994,3
cutmix_p1,shot_noise,2,11.066666666666668,2.749569663298853,8.839999999999996,14.140000000000008,3
cutmix_p1,shot_noise,3,17.95333333333333,8.267686093057318,9.809999999999995,26.34,3
cutmix_p1,shot_noise,4,16.866666666666664,7.5488034371901165,9.46,24.549999999999997,3
cutmix_p1,shot_noise,5,12.666666666666666,6.355189480521673,6.34,19.05,3
cutmix_p1,snow,1,-0.7333333333333295,0.21455380055671536,-0.9799999999999898,-0.5900000000000034,3
cutmix_p1,snow,2,-1.0900000000000034,1.0658799181896565,-1.8900000000000006,0.11999999999999034,3
cutmix_p1,snow,3,-1.1400000000000006,0.3874274125562097,-1.4300000000000068,-0.7000000000000028,3
cutmix_p1,snow,4,-1.2966666666666669,0.3784617990409783,-1.5300000000000011,-0.8599999999999994,3
cutmix_p1,snow,5,-0.5866666666666683,0.7259706146486411,-1.289999999999992,0.1599999999999966,3
cutmix_p1,zoom_blur,1,0.28666666666667123,0.8258530942808894,-0.20999999999999375,1.2399999999999949,3
cutmix_p1,zoom_blur,2,-0.06666666666666288,1.9437678187822083,-1.480000000000004,2.1500000000000057,3
cutmix_p1,zoom_blur,3,0.19333333333332803,2.9652037591594445,-2.030000000000001,3.559999999999988,3
cutmix_p1,zoom_blur,4,0.17666666666666705,4.4472163578280455,-2.509999999999991,5.310000000000002,3
cutmix_p1,zoom_blur,5,-0.16333333333333164,5.0780934742611175,-3.1499999999999986,5.700000000000003,3
