seed,corruption,severity,accuracy_p05,accuracy_control,control,delta
43,jpeg_compression,1,85.27,84.49,cutmix_p1,0.7800000000000011
43,jpeg_compression,2,79.51,76.95,cutmix_p1,2.5600000000000023
43,jpeg_compression,3,77.19,73.96,cutmix_p1,3.230000000000004
43,jpeg_compression,4,73.27,69.85,cutmix_p1,3.4200000000000017
43,jpeg_compression,5,68.73,64.86,cutmix_p1,3.8700000000000045
43,motion_blur,1,90.71,91.4,cutmix_p1,-0.6900000000000119
43,motion_blur,2,83.05,84.23,cutmix_p1,-1.1800000000000068
43,motion_blur,3,73.87,75.86,cutmix_p1,-1.9899999999999949
43,motion_blur,4,74.22,75.81,cutmix_p1,-1.5900000000000034
43,motion_blur,5,65.22,67.6,cutmix_p1,-2.3799999999999955
43,pixelate,1,93.4,93.11,cutmix_p1,0.29000000000000625
43,pixelate,2,87.1,85.84,cutmix_p1,1.259999999999991
43,pixelate,3,80.89,78.4,cutmix_p1,2.489999999999995
43,pixelate,4,57.86,51.27,cutmix_p1,6.589999999999996
43,pixelate,5,43.46,28.77,cutmix_p1,14.690000000000001
43,shot_noise,1,81.52,75.48,cutmix_p1,6.039999999999992
43,shot_noise,2,69.06,58.84,cutmix_p1,10.219999999999999
43,shot_noise,3,47.16,29.45,cutmix_p1,17.709999999999997
43,shot_noise,4,38.9,22.31,cutmix_p1,16.59
43,shot_noise,5,28.71,16.1,cutmix_p1,12.61
43,snow,1,91.97,92.56,cutmix_p1,-0.5900000000000034
43,snow,2,82.51,84.4,cutmix_p1,-1.8900000000000006
43,snow,3,86.17,87.46,cutmix_p1,-1.289999999999992
43,snow,4,83.65,85.18,cutmix_p1,-1.5300000000000011
43,snow,5,77.54,78.83,cutmix_p1,-1.289999999999992
43,zoom_blur,1,89.01,89.22,cutmix_p1,-0.20999999999999375
43,zoom_blur,2,84.23,85.1,cutmix_p1,-0.8699999999999903
43,zoom_blur,3,76.73,77.68,cutmix_p1,-0.9500000000000028
43,zoom_blur,4,67.15,69.66,cutmix_p1,-2.509999999999991
